#OTU ID,OMA1,OMA11,OMA12,OMA13,OMA17,OMA18,OMA19,OMA2,OMA20,OMA21,OMA22,OMA26,OMA27,OMA28,OMA3,OMA4,OMA47,OMA48,WGA10,WGA12,WGA13,WGA15,WGA18,WGA19,WGA20,WGA23,WGA25,WGA26,WGA27,WGA29,WGA3,WGA32,WGA33,WGA34,WGA35,WGA39,WGA4,WGA40,WGA41,WGA42,WGA45,WGA46,WGA48,WGA5,WGA50,WGA53,WGA54,WGA55,WGA56,WGA7,,,,,,,,
Otu69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,11,0,38,16,6,27,16,7,7,8,34,9,14,29,2,106,6,16,8,39,1,13,10,2,22,13,8,14,0,12,,,,,,,,
Otu164,30,26,8,2,0,0,0,4,0,0,1,1,0,40,2,2,268,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Otu65,12,34,20,7,31,12,16,8,5,47,49,26,8,48,1,1,12,7,0,22,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Otu574,3,2,0,3,20,4,3,4,31,14,22,14,2,17,6,11,1,3,0,0,0,0,0,0,0,0,8,0,0,1,175,0,0,0,0,0,0,105,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Otu141,19,15,7,6,13,1,4,12,10,4,3,11,3,11,6,9,1,17,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,285,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Otu91,17,29,15,8,11,5,5,62,24,8,15,7,13,22,22,58,19,9,63,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Otu193,30,22,8,1,3,3,1,35,5,1,3,8,2,9,19,20,199,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Otu205,21,4,0,1,0,0,0,13,0,0,2,2,1,3,3,6,308,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,
Otu255,35,1,2,2,0,1,0,9,0,0,0,0,1,3,4,9,123,227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Otu59,1,1,2,2,3,3,0,4,3,4,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
