,Treat,Diatom,Temp,Bact,FSC,SSC,RED,GREEN,strain,strain_2
10407,NbO-A5-AX,NbO-A5,18,Axenic,3.326085,3.474061,3.511523,3.926812,NbO-A5,A1
10408,NbO-A5-AX,NbO-A5,18,Axenic,3.338825,3.427688,3.595542,3.557137,NbO-A5,A1
10409,NbO-A5-AX,NbO-A5,18,Axenic,3.378762,3.535891,3.677909,3.958912,NbO-A5,A1
10410,NbO-A5-AX,NbO-A5,18,Axenic,3.411429,3.492597,3.638397,3.781812,NbO-A5,A1
10411,NbO-A5-AX,NbO-A5,18,Axenic,3.380683,3.37431,3.542097,3.717304,NbO-A5,A1
10412,NbO-A5-AX,NbO-A5,18,Axenic,3.160141,3.401916,3.535425,3.882726,NbO-A5,A1
10413,NbO-A5-AX,NbO-A5,18,Axenic,3.328907,3.28288,3.398623,3.845284,NbO-A5,A1
10414,NbO-A5-AX,NbO-A5,18,Axenic,3.337249,3.536252,3.649259,3.507329,NbO-A5,A1
10415,NbO-A5-AX,NbO-A5,18,Axenic,3.228359,3.695735,3.650902,3.769019,NbO-A5,A1
10416,NbO-A5-AX,NbO-A5,18,Axenic,3.277787,3.387954,3.641943,3.670867,NbO-A5,A1
10417,NbO-A5-AX,NbO-A5,18,Axenic,3.426664,3.452684,3.142381,4.167479,NbO-A5,A1
10418,NbO-A5-AX,NbO-A5,18,Axenic,3.435819,3.580745,3.516169,3.664841,NbO-A5,A1
10419,NbO-A5-AX,NbO-A5,18,Axenic,3.446171,3.644822,3.625796,3.665637,NbO-A5,A1
10420,NbO-A5-AX,NbO-A5,18,Axenic,3.207111,3.35788,3.421547,3.762283,NbO-A5,A1
10421,NbO-A5-AX,NbO-A5,18,Axenic,3.681052,4.226271,2.717658,4.963309,NbO-A5,A1
10422,NbO-A5-AX,NbO-A5,18,Axenic,3.225211,3.35057,3.550853,3.61819,NbO-A5,A1
10423,NbO-A5-AX,NbO-A5,18,Axenic,3.204805,3.426855,3.653368,3.673168,NbO-A5,A1
10424,NbO-A5-AX,NbO-A5,18,Axenic,3.374587,3.46666,3.497478,3.767634,NbO-A5,A1
10425,NbO-A5-AX,NbO-A5,18,Axenic,3.155725,3.484384,3.598324,3.527332,NbO-A5,A1
10426,NbO-A5-AX,NbO-A5,18,Axenic,3.28239,3.425233,3.585538,3.851898,NbO-A5,A1
10427,NbO-A5-AX,NbO-A5,18,Axenic,3.257905,3.445655,3.611858,3.663182,NbO-A5,A1
10428,NbO-A5-AX,NbO-A5,18,Axenic,3.357238,3.370858,3.506276,3.954643,NbO-A5,A1
10429,NbO-A5-AX,NbO-A5,18,Axenic,3.453802,3.379682,3.687042,3.922467,NbO-A5,A1
10430,NbO-A5-AX,NbO-A5,18,Axenic,3.174054,3.478292,3.450692,3.631886,NbO-A5,A1
10431,NbO-A5-AX,NbO-A5,18,Axenic,3.463433,3.370845,3.620565,3.820728,NbO-A5,A1
10432,NbO-A5-AX,NbO-A5,18,Axenic,3.080359,3.302959,3.421407,3.619693,NbO-A5,A1
10433,NbO-A5-AX,NbO-A5,18,Axenic,3.297474,3.516937,3.40588,4.16318,NbO-A5,A1
10434,NbO-A5-AX,NbO-A5,18,Axenic,3.518726,3.741078,3.404489,3.63677,NbO-A5,A1
10435,NbO-A5-AX,NbO-A5,18,Axenic,3.348679,3.471303,3.648762,3.714621,NbO-A5,A1
10436,NbO-A5-AX,NbO-A5,18,Axenic,3.328637,3.574043,3.777165,3.758132,NbO-A5,A1
10437,NbO-A5-AX,NbO-A5,18,Axenic,3.378305,3.293311,3.512953,3.680026,NbO-A5,A1
10438,NbO-A5-AX,NbO-A5,18,Axenic,3.139607,3.460905,3.534807,3.57256,NbO-A5,A1
